DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               Amb_P                     CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2022-08-01                00:04:28.654              212.00310942              5088.074626               213.00310942              1659312268.654            0                         963                       0.0000000000E+00          1.3999894714E+02          4.4999259949E+01          3.2562500000E+01          4.5121940613E+01          4.4998649597E+01          4.6000000000E+01          0.0000000000E+00          3.7977285156E+04          0.0000000000E+00          3.2324455685E-01          3.2181931945E-01          3.2116697584E-01          3.2085307688E-01          3.3091390916E-01          3.2951308843E-01          3.2884187252E-01          3.2849034275E-01          4.0553583703E+02          4.1491206313E+02          2.0810259204E+00          2.1163473129E+00          1.3137677758E+00          1.3705180528E+00          0.0000000000E+00          6.5817104211E-01          5.4793765303E+01          1.5356016311E+00          7.7443682629E+01          4.5286377329E+02          1.3412437895E+00          
2022-08-01                00:04:29.711              212.00312167              5088.074920               213.00312167              1659312269.712            0                         963                       0.0000000000E+00          1.4000214713E+02          4.4999309604E+01          3.2562500000E+01          4.5121940613E+01          4.4998599941E+01          4.7000000000E+01          0.0000000000E+00          3.7980224491E+04          0.0000000000E+00          3.2475872740E-01          3.2186593191E-01          3.2110039601E-01          3.2086299935E-01          3.3247115493E-01          3.2955915359E-01          3.2877408753E-01          3.2850057894E-01          4.0556125005E+02          4.1494711902E+02          2.0807261447E+00          2.1160762836E+00          1.3150074008E+00          1.3957719898E+00          0.0000000000E+00          6.6329804748E-01          5.4793765303E+01          1.4811549696E+00          7.7443682629E+01          4.5286377329E+02          1.3412437895E+00          
2022-08-01                00:04:30.469              212.00313043              5088.075130               213.00313043              1659312270.469            0                         963                       0.0000000000E+00          1.4000214713E+02          4.4999309604E+01          3.2562500000E+01          4.5121940613E+01          4.4998599941E+01          4.7000000000E+01          0.0000000000E+00          3.7980224491E+04          0.0000000000E+00          3.2476537382E-01          3.2190868697E-01          3.2114678814E-01          3.2087291506E-01          3.3248325349E-01          3.2960163169E-01          3.2882103900E-01          3.2851080571E-01          4.0557943531E+02          4.1497220514E+02          2.0805116883E+00          2.1158823918E+00          1.3158944068E+00          1.4138311435E+00          0.0000000000E+00          6.6329804748E-01          5.4793765303E+01          1.4811549696E+00          7.7443682629E+01          4.5286377329E+02          1.3412437895E+00          
2022-08-01                00:04:30.920              212.00313565              5088.075256               213.00313565              1659312270.920            0                         963                       0.0000000000E+00          1.4000767517E+02          4.4999473572E+01          3.2562500000E+01          4.5121940613E+01          4.4998435974E+01          2.5000000000E+01          0.0000000000E+00          3.7983816406E+04          0.0000000000E+00          3.2291846585E-01          3.2190551167E-01          3.2117964191E-01          3.2087552916E-01          3.3059589639E-01          3.2959732809E-01          3.2885463731E-01          3.2851355757E-01          4.0559027343E+02          4.1498715522E+02          2.0803839781E+00          2.1157669329E+00          1.3164228820E+00          1.4245729995E+00          0.0000000000E+00          6.6329804748E-01          5.4793765303E+01          1.4811549696E+00          7.7443682629E+01          4.5253239950E+02          1.3412437895E+00          
2022-08-01                00:04:32.048              212.00314870              5088.075569               213.00314870              1659312272.048            0                         963                       0.0000000000E+00          1.4000056842E+02          4.4999473572E+01          3.2556749395E+01          4.5121940613E+01          4.4998435974E+01          4.7000000000E+01          0.0000000000E+00          3.7984663930E+04          0.0000000000E+00          3.1829912375E-01          3.2181218844E-01          3.2115235696E-01          3.2085962382E-01          3.2587523056E-01          3.2950114021E-01          3.2882721178E-01          3.2849734892E-01          4.0561738673E+02          4.1502455477E+02          2.0802086490E+00          2.1156246936E+00          1.3177447133E+00          1.4514396599E+00          0.0000000000E+00          6.5229544362E-01          5.4793765303E+01          1.5532480337E+00          7.7443682629E+01          4.5253239950E+02          1.3412437895E+00          
2022-08-01                00:04:32.789              212.00315728              5088.075775               213.00315728              1659312272.789            0                         963                       0.0000000000E+00          1.4000056842E+02          4.4999473572E+01          3.2556749395E+01          4.5121940613E+01          4.4998435974E+01          4.7000000000E+01          0.0000000000E+00          3.7984663930E+04          0.0000000000E+00          3.1830561274E-01          3.2172452405E-01          3.2111632222E-01          3.2084371151E-01          3.2588695510E-01          3.2941078558E-01          3.2878999334E-01          3.2848113000E-01          4.0563519158E+02          4.1504911801E+02          2.0800933787E+00          2.1155311577E+00          1.3186130972E+00          1.4691171873E+00          0.0000000000E+00          6.5229544362E-01          5.4793765303E+01          1.5532480337E+00          7.7443682629E+01          4.5253239950E+02          1.3412437895E+00          
2022-08-01                00:04:33.362              212.00316392              5088.075934               213.00316392              1659312273.363            0                         963                       0.0000000000E+00          1.3999671173E+02          4.4999473572E+01          3.2562500000E+01          4.5121940613E+01          4.4998435974E+01          2.0000000000E+00          0.0000000000E+00          3.7982512749E+04          0.0000000000E+00          3.1738549418E-01          3.2165353304E-01          3.2103570373E-01          3.2082760473E-01          3.2494900219E-01          3.2933777395E-01          3.2870761867E-01          3.2846470987E-01          4.0564898565E+02          4.1506814808E+02          2.0800041157E+00          2.1154587305E+00          1.3192858017E+00          1.4828020651E+00          0.0000000000E+00          6.5229544362E-01          5.4793765303E+01          1.5532480337E+00          7.7799390062E+01          4.5253239950E+02          1.4701609357E+00          
2022-08-01                00:04:34.059              212.00317199              5088.076128               213.00317199              1659312274.060            0                         963                       0.0000000000E+00          1.3999540710E+02          4.4999473572E+01          3.2562500000E+01          4.5121940613E+01          4.4998435974E+01          4.6000000000E+01          0.0000000000E+00          3.7980996094E+04          0.0000000000E+00          3.1626411774E-01          3.2151509433E-01          3.2094086117E-01          3.2081142855E-01          3.2380293550E-01          3.2919609692E-01          3.2861069597E-01          3.2844823023E-01          4.0566573573E+02          4.1508760331E+02          2.0798957251E+00          2.1153571410E+00          1.3196027605E+00          1.5001237553E+00          0.0000000000E+00          6.5229544362E-01          5.4811310114E+01          1.5532480337E+00          7.7799390062E+01          4.5253239950E+02          1.4701609357E+00          
2022-08-01                00:04:35.135              212.00318444              5088.076427               213.00318444              1659312275.136            0                         963                       0.0000000000E+00          1.3999883974E+02          4.4999527809E+01          3.2518311138E+01          4.5121805020E+01          4.4998544448E+01          4.7000000000E+01          0.0000000000E+00          3.7981371425E+04          0.0000000000E+00          3.1453336880E-01          3.2134055119E-01          3.2081040580E-01          3.2079498477E-01          3.2203404414E-01          3.2901704560E-01          3.2847769343E-01          3.2843149377E-01          4.0574274655E+02          4.1516996537E+02          2.0797283497E+00          2.1152002137E+00          1.3200902855E+00          1.5268652872E+00          0.0000000000E+00          6.4293026229E-01          5.4811310114E+01          1.4843837419E+00          7.7799390062E+01          4.5253239950E+02          1.4701609357E+00          
2022-08-01                00:04:35.881              212.00319308              5088.076634               213.00319308              1659312275.882            0                         963                       0.0000000000E+00          1.3999883974E+02          4.4999527809E+01          3.2518311138E+01          4.5121805020E+01          4.4998544448E+01          4.7000000000E+01          0.0000000000E+00          3.7981371425E+04          0.0000000000E+00          3.1453579151E-01          3.2094066322E-01          3.2073098031E-01          3.2077855333E-01          3.2203847928E-01          3.2860772965E-01          3.2839618439E-01          3.2841478218E-01          4.0579613632E+02          4.1522706604E+02          2.0796122698E+00          2.1150913760E+00          1.3204282985E+00          1.5454166559E+00          0.0000000000E+00          6.4293026229E-01          5.4811310114E+01          1.4843837419E+00          7.7799390062E+01          4.5253239950E+02          1.4701609357E+00          
