Model:	LI-7810
SN:	TG10-01449
Software Version:	2.3.3
Timestamp:	2022-12-05 08:00:00
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1670229562	834856033	10525	0	""	2022-12-05	09:39:22	6313.0195	460.65662	2064.5789	39.7467	55.0003	27.9547	37.0427	0.00122919	11.8608	54.5	-10	-0.346409	14.8935	184
DATA	1670229563	834856033	10529	0	""	2022-12-05	09:39:23	6313.4609	462.20551	2064.7573	39.7459	55.0003	27.9542	37.0427	0.00122733	11.8601	54.5004	176	-0.346409	14.892	 14
DATA	1670229564	834566116	10533	0	""	2022-12-05	09:39:24	6312.6533	461.60373	2064.6597	39.7463	55.0003	27.9547	37.0427	0.00122915	11.8601	54.5004	-16.25	-0.346409	14.8923	210
DATA	1670229565	834566116	10537	0	""	2022-12-05	09:39:25	6312.4868	461.93039	2064.9387	39.7471	55.0003	27.9555	37.0427	0.0012294	11.8604	54.5	101.5	-0.346409	14.8923	237
DATA	1670229566	834566116	10541	0	""	2022-12-05	09:39:26	6313.3975	462.63654	2065.2559	39.7463	55.0005	27.9583	37.0427	0.00122779	11.8603	54.5002	-103.75	-0.346409	14.8916	 28
DATA	1670229567	834566116	10545	0	""	2022-12-05	09:39:27	6314.0005	461.53333	2065.5657	39.7467	55.0003	27.9559	37.0427	0.00123695	11.8605	54.5002	79.75	-0.346409	14.892	137
DATA	1670229568	834566116	10549	0	""	2022-12-05	09:39:28	6314.2397	461.18088	2065.449	39.7463	55.0005	27.9555	37.0427	0.00122796	11.8609	54.5004	71.25	-0.346409	14.892	101
DATA	1670229569	834566116	10553	0	""	2022-12-05	09:39:29	6315.9414	460.97302	2065.333	39.7471	55.0005	27.9567	37.0427	0.0012322	11.8602	54.5	22	-0.346409	14.8916	 21
DATA	1670229570	834566116	10557	0	""	2022-12-05	09:39:30	6317.8345	460.9097	2065.5444	39.7463	55.0003	27.9563	37.0425	0.00122841	11.8602	54.4998	-20.25	-0.346409	14.8916	179
DATA	1670229571	834263086	10561	0	""	2022-12-05	09:39:31	6316.8628	461.50238	2064.9761	39.7455	55.0005	27.9559	37.0427	0.00123912	11.8605	54.4998	-43.75	-0.346409	14.8908	250
