DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2023-01-08                09:17:20.338              7.38704095                177.288983                8.38704095                1673165840.338            0                         963                       1.4000318909E+02          4.5000022888E+01          3.3562500000E+01          4.4552177429E+01          4.5001335144E+01          4.6000000000E+01          0.0000000000E+00          4.0720296875E+04          0.0000000000E+00          3.2531430765E-01          3.2597362052E-01          3.2721305100E-01          3.2535994645E-01          3.3061750544E-01          3.3131195959E-01          3.3256487175E-01          3.3072267833E-01          4.1985003885E+02          4.2660455637E+02          2.0449823920E+00          2.0691900621E+00          9.2053054813E-01          1.4826818079E+00          0.0000000000E+00          6.6172249419E-01          5.6906849032E+01          1.0414952301E+00          5.5124575478E+01          4.4730250965E+02          1.3130542679E+00          
2023-01-08                09:17:21.338              7.38705253                177.289261                8.38705253                1673165841.339            0                         963                       1.3999897452E+02          4.5000022888E+01          3.3582929782E+01          4.4552177429E+01          4.5001335144E+01          4.7000000000E+01          0.0000000000E+00          4.0717694338E+04          0.0000000000E+00          3.2541574710E-01          3.2683437614E-01          3.2692510794E-01          3.2538413247E-01          3.3071777329E-01          3.3218624787E-01          3.3227126863E-01          3.3074650756E-01          4.1988146785E+02          4.2663286305E+02          2.0450664998E+00          2.0692622382E+00          9.2004415635E-01          1.5115152751E+00          0.0000000000E+00          6.6181234286E-01          5.6906849032E+01          9.9215513022E-01          5.5124575478E+01          4.4730250965E+02          1.3130542679E+00          
2023-01-08                09:17:22.094              7.38706127                177.289471                8.38706127                1673165842.094            0                         963                       1.3999897452E+02          4.5000022888E+01          3.3582929782E+01          4.4552177429E+01          4.5001335144E+01          4.7000000000E+01          0.0000000000E+00          4.0717694338E+04          0.0000000000E+00          3.2541173450E-01          3.2676324406E-01          3.2663721562E-01          3.2540822005E-01          3.3071155486E-01          3.3211251322E-01          3.3197775517E-01          3.3077017789E-01          4.1990517279E+02          4.2665421275E+02          2.0451299375E+00          2.0693166760E+00          9.1967730664E-01          1.5332617625E+00          0.0000000000E+00          6.6181234286E-01          5.6906849032E+01          9.9215513022E-01          5.5124575478E+01          4.4730250965E+02          1.3130542679E+00          
2023-01-08                09:17:22.490              7.38706587                177.289581                8.38706587                1673165842.491            0                         963                       1.3999684464E+02          4.5000022888E+01          3.3562500000E+01          4.4552177429E+01          4.5001335144E+01          2.5000000000E+01          0.0000000000E+00          4.0714761308E+04          0.0000000000E+00          3.2533735847E-01          3.2718688500E-01          3.2660471920E-01          3.2540786750E-01          3.3063483365E-01          3.3254196847E-01          3.3194418214E-01          3.3076950454E-01          4.1991763728E+02          4.2666543871E+02          2.0451632944E+00          2.0693453005E+00          9.1948441006E-01          1.5446957437E+00          0.0000000000E+00          6.6181234286E-01          5.6906849032E+01          9.9215513022E-01          5.5124575478E+01          4.4749449985E+02          1.3130542679E+00          
2023-01-08                09:17:23.558              7.38707822                177.289877                8.38707822                1673165843.558            0                         963                       1.3999996760E+02          4.5000022888E+01          3.3562500000E+01          4.4552177429E+01          4.5001335144E+01          4.7000000000E+01          0.0000000000E+00          4.0715362421E+04          0.0000000000E+00          3.2513756697E-01          3.2760054510E-01          3.2632634070E-01          3.2543055204E-01          3.3042874348E-01          3.3296111783E-01          3.3166038360E-01          3.3079166832E-01          4.1995112589E+02          4.2669559805E+02          2.0450974663E+00          2.0692649148E+00          9.1896597928E-01          1.5754264564E+00          0.0000000000E+00          6.6336713197E-01          5.6906849032E+01          1.0605565883E+00          5.5124575478E+01          4.4749449985E+02          1.3130542679E+00          
2023-01-08                09:17:24.334              7.38708720                177.290093                8.38708720                1673165844.334            0                         963                       1.3999996760E+02          4.5000022888E+01          3.3562500000E+01          4.4552177429E+01          4.5001335144E+01          4.7000000000E+01          0.0000000000E+00          4.0715362421E+04          0.0000000000E+00          3.2513352011E-01          3.2789023950E-01          3.2629724752E-01          3.2542908159E-01          3.3042243288E-01          3.3325413496E-01          3.3163018968E-01          3.3078984042E-01          4.1997548167E+02          4.2671753229E+02          2.0450495919E+00          2.0692064541E+00          9.1858894862E-01          1.5977778772E+00          0.0000000000E+00          6.6336713197E-01          5.6906849032E+01          1.0605565883E+00          5.5124575478E+01          4.4749449985E+02          1.3130542679E+00          
2023-01-08                09:17:25.369              7.38709919                177.290381                8.38709919                1673165845.370            0                         963                       1.4000171384E+02          4.5000099914E+01          3.3570847603E+01          4.4552180147E+01          4.5001516682E+01          2.0000000000E+00          0.0000000000E+00          4.0717042460E+04          0.0000000000E+00          3.2394707589E-01          3.2770246980E-01          3.2624129105E-01          3.2542178106E-01          3.2921362441E-01          3.3306172969E-01          3.3157265241E-01          3.3078207581E-01          4.2000799431E+02          4.2674681164E+02          2.0449856721E+00          2.0691284021E+00          9.1808560659E-01          1.6276030291E+00          0.0000000000E+00          6.6336713197E-01          5.6906849032E+01          1.0605565883E+00          5.4835513877E+01          4.4749449985E+02          1.6122544896E+00          
2023-01-08                09:17:30.592              7.38715964                177.291831                8.38715964                1673165850.593            0                         963                       1.3999870300E+02          4.5000083923E+01          3.3625000000E+01          4.4552238464E+01          4.5001518250E+01          4.6000000000E+01          0.0000000000E+00          4.0713992188E+04          0.0000000000E+00          3.1804000040E-01          3.2670802307E-01          3.2536397939E-01          3.2548688289E-01          3.2322862082E-01          3.3204887363E-01          3.3068157333E-01          3.3084747659E-01          4.2017181142E+02          4.2693788748E+02          2.0446633097E+00          2.0688899373E+00          9.2138610781E-01          1.1608101974E+00          0.0000000000E+00          6.6336713197E-01          5.6950461378E+01          1.0605565883E+00          5.4835513877E+01          4.4749449985E+02          1.6122544896E+00          
2023-01-08                09:17:31.599              7.38717130                177.292111                8.38717130                1673165851.600            0                         963                       1.4000150996E+02          4.5000083923E+01          3.3625000000E+01          4.4552238464E+01          4.5001518250E+01          4.7000000000E+01          0.0000000000E+00          4.0716213803E+04          0.0000000000E+00          3.1690077400E-01          3.2567759555E-01          3.2542239983E-01          3.2546299410E-01          3.2207429006E-01          3.3099908143E-01          3.3074120849E-01          3.3082296647E-01          4.2016099811E+02          4.2693165809E+02          2.0446012423E+00          2.0688440748E+00          9.2202360250E-01          1.0708107865E+00          0.0000000000E+00          6.4650054214E-01          5.6950461378E+01          1.0573502287E+00          5.4835513877E+01          4.4749449985E+02          1.6122544896E+00          
2023-01-08                09:17:32.359              7.38718009                177.292322                8.38718009                1673165852.360            0                         963                       1.4000150996E+02          4.5000083923E+01          3.3625000000E+01          4.4552238464E+01          4.5001518250E+01          4.7000000000E+01          0.0000000000E+00          4.0716213803E+04          0.0000000000E+00          3.1690738274E-01          3.2523908491E-01          3.2548106970E-01          3.2543922432E-01          3.2208374049E-01          3.3055331438E-01          3.3080122295E-01          3.3079864343E-01          4.2015283974E+02          4.2692695936E+02          2.0445544027E+00          2.0688094652E+00          9.2250474619E-01          1.0028978146E+00          0.0000000000E+00          6.4650054214E-01          5.6950461378E+01          1.0573502287E+00          5.4835513877E+01          4.4749449985E+02          1.6122544896E+00          
