Model:	LI-7820
SN:	TG20-01079
Software Version:	2.1.41
Timestamp:	2022-09-28 10:34:19
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1664361510	558883190	74525	0	""	2022-09-28	12:38:30	11511.024	344.53998	39.827	55.0003	31.6121	34.8853	0.00217099	38.4502	54.4998	-14.6	-0.10586	14.2707	115
DATA	1664361511	558760166	74535	0	""	2022-09-28	12:38:31	11518.959	344.54584	39.8275	55.0003	31.6131	34.8853	0.00216735	38.4489	54.4998	-25.8	-0.10586	14.2704	196
DATA	1664361512	558760166	74545	0	""	2022-09-28	12:38:32	11529.842	344.39883	39.827	55.0003	31.6123	34.8853	0.00217105	38.4501	54.4998	-21.1	-0.10586	14.2699	124
DATA	1664361513	558760166	74555	0	""	2022-09-28	12:38:33	11539.641	345.03348	39.827	55.0003	31.612	34.8853	0.00216186	38.4483	54.4998	-20.9	-0.10586	14.2706	 75
DATA	1664361514	558620214	74565	0	""	2022-09-28	12:38:34	11552.167	344.45929	39.8269	55.0003	31.6129	34.8853	0.00215975	38.4486	54.4998	-50.3	-0.10586	14.2703	190
DATA	1664361515	558620214	74575	0	""	2022-09-28	12:38:35	11566.565	344.93137	39.8277	55.0003	31.6129	34.8853	0.00216244	38.4494	54.4998	-22.7	-0.10586	14.2703	185
DATA	1664361516	558620214	74585	0	""	2022-09-28	12:38:36	11582.999	344.793	39.828	55.0003	31.6108	34.8853	0.00216813	38.4483	54.4998	-65.7	-0.10586	14.2707	 51
DATA	1664361517	558494091	74595	0	""	2022-09-28	12:38:37	11600.115	345.63574	39.8267	55.0003	31.6089	34.8853	0.00216803	38.4483	54.4998	16.4	-0.10586	14.2699	158
DATA	1664361518	558494091	74605	0	""	2022-09-28	12:38:38	11616.674	344.86234	39.8273	55.0003	31.6105	34.8853	0.0021733	38.4462	54.4998	-9.1	-0.10586	14.2695	 89
DATA	1664361519	558494091	74615	0	""	2022-09-28	12:38:39	11634.604	345.10165	39.8278	55.0003	31.6095	34.8853	0.00217476	38.4482	54.4998	-10.7	-0.10586	14.269	143
DATA	1664361520	558376789	74625	0	""	2022-09-28	12:38:40	11650.202	344.5144	39.8275	55.0003	31.6094	34.8853	0.00217939	38.4458	54.4998	20.3	-0.10586	14.2696	 94
DATA	1664361521	558376789	74635	0	""	2022-09-28	12:38:41	11666.049	344.60376	39.8278	55.0003	31.6098	34.8853	0.00217573	38.4456	54.4998	-25.3	-0.10586	14.2696	218
DATA	1664361522	558376789	74645	0	""	2022-09-28	12:38:42	11680.161	344.25369	39.8273	55.0003	31.6102	34.8853	0.00218049	38.4453	54.4998	13.8	-0.10586	14.2698	151
DATA	1664361523	558245182	74655	0	""	2022-09-28	12:38:43	11697.733	343.91602	39.8283	55.0003	31.6113	34.8853	0.00218051	38.4449	54.4998	-30	-0.10586	14.2696	 82
DATA	1664361524	558245182	74665	0	""	2022-09-28	12:38:44	11708.815	344.69574	39.827	55.0003	31.6084	34.8853	0.00218092	38.4456	54.4998	4.9	-0.10586	14.2696	 62
DATA	1664361525	558245182	74675	0	""	2022-09-28	12:38:45	11723.746	344.84756	39.8272	55.0003	31.6102	34.8853	0.00218101	38.4438	54.4998	16.3	-0.10586	14.2693	138
DATA	1664361526	558118104	74685	0	""	2022-09-28	12:38:46	11739.415	344.69427	39.8273	55.0003	31.6102	34.8853	0.00217911	38.4408	54.4998	-25.7	-0.10586	14.2693	187
DATA	1664361527	558118104	74695	0	""	2022-09-28	12:38:47	11752.633	344.1203	39.8272	55.0003	31.6079	34.8853	0.00218084	38.4445	54.4998	-34.5	-0.10586	14.2687	133
DATA	1664361528	558118104	74705	0	""	2022-09-28	12:38:48	11765.045	344.72287	39.8277	55.0003	31.6064	34.8853	0.00218286	38.4456	54.4998	34.8	-0.10586	14.2687	159
DATA	1664361529	557988166	74715	0	""	2022-09-28	12:38:49	11777.312	344.55984	39.8269	55.0003	31.6063	34.8853	0.00218228	38.4444	54.4998	-14.5	-0.10586	14.2682	217
DATA	1664361530	557988166	74725	0	""	2022-09-28	12:38:50	11788.043	344.54633	39.8275	55.0003	31.6084	34.8853	0.00218184	38.442	54.4998	34.7	-0.10586	14.2684	103
DATA	1664361531	557988166	74735	0	""	2022-09-28	12:38:51	11798.332	344.91849	39.8277	55.0003	31.6087	34.8853	0.00218794	38.4409	54.4998	-35.3	-0.10586	14.2685	228
DATA	1664361532	557862043	74745	0	""	2022-09-28	12:38:52	11808.105	344.92233	39.8273	55.0003	31.6067	34.8853	0.00218601	38.4436	54.4998	15.7	-0.10586	14.2681	128
DATA	1664361533	557862043	74755	0	""	2022-09-28	12:38:53	11819.859	344.59369	39.8273	55.0003	31.6051	34.8853	0.00218267	38.4449	54.4998	33.2	-0.10586	14.2681	162
DATA	1664361534	557862043	74765	0	""	2022-09-28	12:38:54	11831.15	344.00775	39.8269	55.0003	31.6051	34.8853	0.00217891	38.4437	54.4998	22.9	-0.10586	14.2679	 98
